ID,ZONEID,TIMESTAMP,U10,V10,U100,V100
30030301,1,20130803 3:00,3.568783698,-5.846616629,7.075701859,-10.40943056
30030401,1,20130803 4:00,3.786813683,-5.919932158,7.455506348,-10.87724916
30030501,1,20130803 5:00,5.442532702,-4.518959772,9.075695688,-7.343341009
30030601,1,20130803 6:00,6.884010567,-1.24901121,10.9637338,-1.668780288
30030701,1,20130803 7:00,5.600974714,0.227935817,9.213422344,0.638321122
30030801,1,20130803 8:00,4.385104496,-0.083560213,8.49648328,0.364306465
30030901,1,20130803 9:00,4.716799402,0.060031859,8.681527069,0.529364363
30031001,1,20130803 10:00,4.912785282,-0.079761481,8.707298008,0.359206361
30031101,1,20130803 11:00,5.658840492,0.111694615,9.452965331,0.445444476
30031201,1,20130803 12:00,5.627496529,-0.100654507,9.669272226,0.254422414
30031301,1,20130803 13:00,6.156555071,0.313027415,10.07780498,0.871998596
30031401,1,20130803 14:00,5.784905222,-0.071024397,9.779115571,0.333705843
30031501,1,20130803 15:00,5.503842872,0.054333761,9.39339644,0.513136761
30031601,1,20130803 16:00,5.269968685,0.369248649,9.041475262,0.970291501
30031701,1,20130803 17:00,4.87283034,0.211221395,8.771091643,0.846034432
30031801,1,20130803 18:00,4.912785282,0.315306654,8.859388793,1.076002739
30031901,1,20130803 19:00,4.556979634,0.131827895,8.355376829,0.755159859
30032001,1,20130803 20:00,4.432637099,0.188429003,8.213002955,0.874316824
30032101,1,20130803 21:00,4.171896659,0.153100795,8.078656094,0.884053386
30032201,1,20130803 22:00,3.987621711,0.121191446,7.743633892,0.829343184
30032301,1,20130803 23:00,4.109208732,0.145883204,6.940932524,0.739395902
30040001,1,20130804 0:00,4.744698974,0.20818241,6.998389043,0.407889168
30040101,1,20130804 1:00,4.576839843,-1.345774886,7.348474079,-2.149690798
30040201,1,20130804 2:00,4.549130319,-1.841502599,6.897925128,-2.846795406
30040301,1,20130804 3:00,4.961560478,-2.021389836,7.200949202,-2.951574933
30040401,1,20130804 4:00,5.402101749,-2.082966621,7.865807941,-3.109385731
30040501,1,20130804 5:00,4.635070001,-2.557592177,7.349969264,-3.856100237
30040601,1,20130804 6:00,4.914574764,-2.382893995,7.9570142,-3.654239271
30040701,1,20130804 7:00,3.708206507,-2.410914891,6.973681146,-4.144350854
30040801,1,20130804 8:00,3.260035078,-3.045363339,6.357166708,-5.370912826
30040901,1,20130804 9:00,3.494562063,-3.660785251,6.461331233,-6.263035655
30041001,1,20130804 10:00,3.815430317,-3.455298677,7.179019828,-6.002583688
30041101,1,20130804 11:00,3.923055714,-3.364317247,7.363425925,-5.778483802
30041201,1,20130804 12:00,3.656401745,-3.234244937,6.690592867,-5.383315301
30041301,1,20130804 13:00,3.485325555,-3.166787224,6.405012614,-5.255013839
30041401,1,20130804 14:00,3.312643015,-3.019072127,6.072583244,-4.934687857
30041501,1,20130804 15:00,3.2150573,-3.058854881,5.956955637,-4.935970871
30041601,1,20130804 16:00,3.430308094,-2.960262838,6.306828827,-4.723418117
30041701,1,20130804 17:00,3.456009682,-2.684551054,6.272937977,-4.315847141
30041801,1,20130804 18:00,3.793343016,-2.904912919,6.816188372,-4.639594495
30041901,1,20130804 19:00,3.548374761,-2.643730488,6.357166708,-4.264098885
30042001,1,20130804 20:00,3.088958887,-2.890383565,5.648947615,-4.809380096
30042101,1,20130804 21:00,3.101408094,-3.358782255,5.668385015,-5.582610238
30042201,1,20130804 22:00,2.803831902,-3.860736834,5.080777478,-6.423412482
30042301,1,20130804 23:00,3.609416031,-5.698700084,5.985364144,-8.53824824
30050001,1,20130805 0:00,4.288500159,-5.970260624,6.984645833,-9.292233162
30050101,1,20130805 1:00,3.677561375,-5.85597842,6.255964394,-9.529427499
30050201,1,20130805 2:00,4.422181313,-5.881064618,7.025902059,-9.310292272
30050301,1,20130805 3:00,4.652185334,-5.616631421,7.343814642,-8.879578205
30050401,1,20130805 4:00,4.244253673,-5.554532801,6.59982005,-8.552638521
30050501,1,20130805 5:00,3.957110288,-5.773728592,6.164064352,-8.866480467
30050601,1,20130805 6:00,2.560450647,-5.457478004,4.135228037,-8.485134796
30050701,1,20130805 7:00,1.866822167,-5.448841772,3.445318159,-9.243796065
30050801,1,20130805 8:00,2.318874096,-5.231702226,4.713890497,-9.588367319
30050901,1,20130805 9:00,3.021181974,-5.242805953,5.948604926,-9.304750922
30051001,1,20130805 10:00,3.39982067,-5.137937422,6.675450706,-9.021638283
30051101,1,20130805 11:00,4.227256521,-5.126011197,7.847286159,-9.102743505
30051201,1,20130805 12:00,5.147272607,-4.463488834,9.289984891,-7.911856892
30051301,1,20130805 13:00,5.479982827,-3.849493868,9.553373047,-6.500323774
30051401,1,20130805 14:00,5.741088021,-3.647159292,9.79081813,-5.909918059
30051501,1,20130805 15:00,6.6357892,-2.755571157,10.80303772,-4.14021219
30051601,1,20130805 16:00,7.157637947,-1.743075775,11.60199645,-2.448588989
30051701,1,20130805 17:00,7.428869104,-0.359222421,11.824931,-0.171597664
30051801,1,20130805 18:00,6.720051679,-0.019119382,10.98551866,0.244507388
30051901,1,20130805 19:00,5.671652845,-0.315218763,9.938122024,-0.290988581
30052001,1,20130805 20:00,4.984172271,-0.606794403,9.133886735,-0.630018484
30052101,1,20130805 21:00,4.641336088,-0.547163278,8.943930669,-0.507101253
30052201,1,20130805 22:00,4.441348314,-0.362923663,8.311183496,-0.130793173
30052301,1,20130805 23:00,4.493786338,-0.559912001,8.057029315,-0.310131428
30060001,1,20130806 0:00,5.348345305,-0.168814069,8.494983578,-0.133815728
30060101,1,20130806 1:00,6.116880194,0.268645617,9.178334969,0.445608129
30060201,1,20130806 2:00,6.042327228,0.290588138,8.950585117,0.581665874
30060301,1,20130806 3:00,5.999610393,0.28815008,8.707515768,0.518869992
30060401,1,20130806 4:00,5.9480278,0.407614918,8.618662687,0.65000257
30060501,1,20130806 5:00,5.597024375,0.366655545,8.196865877,0.584744104
30060601,1,20130806 6:00,4.861972426,0.344713024,7.429869739,0.58535975
30060701,1,20130806 7:00,3.454331825,0.234025194,6.646532805,0.62599238
30060801,1,20130806 8:00,2.512949504,0.028253106,6.357504966,0.494859801
30060901,1,20130806 9:00,2.321529726,-0.153138403,6.023539937,0.161179719
30061001,1,20130806 10:00,2.168796892,-0.289182035,5.823365179,-0.093082041
30061101,1,20130806 11:00,2.093034959,-0.466672652,5.622169122,-0.310405046
30061201,1,20130806 12:00,2.01969096,-0.829943282,5.225904806,-0.70257149
30061301,1,20130806 13:00,1.955212719,-1.033764924,5.06096489,-0.918047557
30061401,1,20130806 14:00,1.719061161,-1.325844262,4.423673825,-1.087350182
30061501,1,20130806 15:00,1.525223448,-1.339497387,4.54469785,-1.612496142
30061601,1,20130806 16:00,1.388610175,-1.552096037,4.288351604,-2.40113855
30061701,1,20130806 17:00,1.211295012,-1.696916678,3.925279531,-3.091893259
30061801,1,20130806 18:00,0.955396992,-1.582327955,3.50501467,-3.520998457
30061901,1,20130806 19:00,0.793395411,-1.561360657,3.235391527,-3.66198137
30062001,1,20130806 20:00,0.745842709,-1.604758088,3.03113157,-3.742630984
30062101,1,20130806 21:00,0.872784246,-1.657907751,3.07811136,-3.834362224
30062201,1,20130806 22:00,1.257638747,-1.855878054,3.499908171,-3.915627484
30062301,1,20130806 23:00,2.03581052,-1.895374592,4.043239656,-3.184240145
30070001,1,20130807 0:00,2.659637503,-1.247826409,4.660615375,-1.763945035
30070101,1,20130807 1:00,-1.070003954,-2.419677029,-1.36495752,-4.493927806
30070201,1,20130807 2:00,0.541288572,-0.286509612,0.780692781,-0.706096774
30070301,1,20130807 3:00,3.282119679,3.04499892,4.734256994,5.062846623
30070401,1,20130807 4:00,2.216608891,3.101609516,3.976319814,6.190381124
30070501,1,20130807 5:00,2.729272805,3.456302454,3.87914838,4.931575733
30070601,1,20130807 6:00,3.965671564,3.551488412,6.065243007,5.744567426
30070701,1,20130807 7:00,3.632727041,3.528443391,5.718577353,5.922766074
30070801,1,20130807 8:00,3.073256603,2.438313682,5.829405312,5.068554053
30070901,1,20130807 9:00,3.329367774,2.173295936,6.196555755,4.46610311
30071001,1,20130807 10:00,3.368667592,1.91579287,6.115667102,3.927068056
30071101,1,20130807 11:00,3.274171401,1.789546231,5.957566554,3.741259502
30071201,1,20130807 12:00,3.120504698,2.08111585,5.405002511,4.161072685
30071301,1,20130807 13:00,2.515994019,2.191832149,4.556722159,4.685522085
30071401,1,20130807 14:00,1.985225695,2.319581724,3.565573538,4.997528257
30071501,1,20130807 15:00,1.556018697,2.226900659,2.863838213,5.071724847
30071601,1,20130807 16:00,1.402793565,1.93933887,2.759838517,5.012748071
30071701,1,20130807 17:00,1.586045524,1.802571678,3.070787104,4.760986992
30071801,1,20130807 18:00,1.658904736,1.532544144,3.401695229,4.395711473
30071901,1,20130807 19:00,1.53526486,1.217428525,3.504119172,4.05580231
30072001,1,20130807 20:00,1.400144139,1.160316951,3.151675757,3.954971047
30072101,1,20130807 21:00,1.293725531,1.317123292,2.425253635,3.89028684
30072201,1,20130807 22:00,1.089278165,1.502485421,1.607963093,3.914384878
30072301,1,20130807 23:00,1.179358646,1.015534099,1.445660536,2.896559864
30080001,1,20130808 0:00,0.749710077,0.801115204,0.959803369,1.390432507
30080101,1,20130808 1:00,1.500141061,0.249734434,1.916692448,0.379332371
30080201,1,20130808 2:00,2.294537109,-0.561832315,3.038492917,-0.755778058
30080301,1,20130808 3:00,2.572458559,-0.731357199,3.435605685,-1.010957922
30080401,1,20130808 4:00,2.704623565,-1.169431028,3.689045237,-1.605926358
30080501,1,20130808 5:00,1.899916771,-1.729132235,2.641954841,-2.367404732
30080601,1,20130808 6:00,1.570910267,-2.327581986,2.298288509,-3.307576698
30080701,1,20130808 7:00,0.558113889,-1.847530567,1.502338894,-4.003398714
30080801,1,20130808 8:00,0.255352917,-2.048269557,0.995459789,-4.971999206
30080901,1,20130808 9:00,0.123187911,-2.784491913,0.885693452,-6.026562145
30081001,1,20130808 10:00,0.067884823,-3.485194769,0.360424175,-6.878741054
30081101,1,20130808 11:00,0.491562715,-3.967398886,1.063273547,-7.568471244
30081201,1,20130808 12:00,0.428760904,-4.797263559,0.994310403,-8.619649835
30081301,1,20130808 13:00,0.711369056,-5.152996729,1.321885335,-9.142193217
30081401,1,20130808 14:00,1.194568068,-5.401095053,2.1057664,-9.413617953
30081501,1,20130808 15:00,1.217532909,-5.763286314,2.307483595,-9.893518546
30081601,1,20130808 16:00,0.773233527,-6.236341468,1.551187787,-10.59137117
30081701,1,20130808 17:00,0.681374161,-6.544715306,1.368435457,-11.1552036
30081801,1,20130808 18:00,0.793386347,-6.955342249,1.574750195,-11.74475708
30081901,1,20130808 19:00,0.550146495,-6.886455946,1.09200819,-11.66488646
30082001,1,20130808 20:00,0.975230398,-6.829947652,1.737388275,-11.68045446
30082101,1,20130808 21:00,1.188475355,-6.910673787,2.197142565,-11.64796472
30082201,1,20130808 22:00,1.173946577,-6.579696631,2.235646987,-11.12609821
30082301,1,20130808 23:00,1.570441596,-6.396179217,2.802868843,-10.47630333
30090001,1,20130809 0:00,1.940222412,-6.30899499,3.748813295,-10.8228606
30090101,1,20130809 1:00,1.645971256,-6.602820626,3.173781466,-11.57253155
30090201,1,20130809 2:00,1.715896178,-6.539027854,3.329893856,-11.35801583
30090301,1,20130809 3:00,2.254517864,-6.193880393,3.830414195,-10.13705907
30090401,1,20130809 4:00,2.912611275,-6.076768289,4.54372773,-8.987415841
30090501,1,20130809 5:00,2.79673569,-4.767588263,5.783500277,-8.331216279
30090601,1,20130809 6:00,3.347744077,-4.023497943,6.670218651,-6.796825017
30090701,1,20130809 7:00,4.10053581,-3.179433875,7.185149365,-5.101403188
30090801,1,20130809 8:00,3.553123562,-2.533889106,6.923360896,-4.48431105
30090901,1,20130809 9:00,3.538739007,-2.361077343,6.687030755,-4.023648606
30091001,1,20130809 10:00,3.725738227,-2.014977751,6.871483548,-3.343294459
30091101,1,20130809 11:00,4.012630194,-1.676971271,7.214930805,-2.676167824
30091201,1,20130809 12:00,4.192836708,-1.618891285,7.423400889,-2.584150357
30091301,1,20130809 13:00,4.237588658,-1.291834311,7.848026589,-2.038371756
30091401,1,20130809 14:00,3.96228425,-1.479880169,7.664534488,-2.304072191
30091501,1,20130809 15:00,4.365451373,-1.489877544,8.007021053,-2.240235074
30091601,1,20130809 16:00,4.685507731,-0.571547264,8.095885029,-0.552864773
30091701,1,20130809 17:00,4.331487839,-0.081199836,7.659731029,0.279318194
30091801,1,20130809 18:00,4.01502762,0.23300337,7.116459913,0.778512953
30091901,1,20130809 19:00,3.45882481,0.133029623,6.67262038,0.718701599
30092001,1,20130809 20:00,2.845882921,-0.341131579,6.291706149,-0.147412809
30092101,1,20130809 21:00,2.759575588,-0.313043717,6.303714795,-0.118082241
30092201,1,20130809 22:00,2.772761431,-0.243538159,6.128388572,0.159695487
30092301,1,20130809 23:00,3.04886498,-0.696752481,5.822888634,-0.338924162
30100001,1,20130810 0:00,4.239186942,-0.378264686,6.154807592,-0.516057786
30100101,1,20130810 1:00,5.31213579,-0.671077946,7.655634141,-1.02831433
30100201,1,20130810 2:00,5.590069606,-0.647789567,8.015245187,-0.950148193
30100301,1,20130810 3:00,5.064875693,-0.963788782,7.271023397,-1.387782058
30100401,1,20130810 4:00,4.675095025,-1.082639821,6.72054927,-1.582714894
30100501,1,20130810 5:00,4.425590509,-0.971417734,6.369591966,-1.399844734
30100601,1,20130810 6:00,3.895533689,-0.979046686,5.772964549,-1.42155755
30100701,1,20130810 7:00,2.486787052,-1.124398295,5.018165964,-2.081144644
30100801,1,20130810 8:00,1.732288389,-1.291432187,4.757111421,-2.979572713
30100901,1,20130810 9:00,1.606226887,-1.580529309,4.617690027,-3.64350237
30101001,1,20130810 10:00,1.823561405,-1.724676346,4.778745776,-3.757856534
30101101,1,20130810 11:00,1.967578255,-1.680107207,4.86624472,-3.555686093
30101201,1,20130810 12:00,2.0461329,-1.676091969,4.902782741,-3.422031649
30101301,1,20130810 13:00,1.911093724,-1.691751396,5.012396803,-3.769436702
30101401,1,20130810 14:00,2.030421971,-1.771654629,5.035954211,-3.779086842
30101501,1,20130810 15:00,1.817950359,-1.729093108,5.005185351,-3.888133429
30101601,1,20130810 16:00,1.598745492,-2.027425277,4.636920564,-4.517322581
30101701,1,20130810 17:00,1.50186143,-2.335394016,4.3196167,-5.133001536
30101801,1,20130810 18:00,1.496624453,-2.550209239,4.062408265,-5.43505093
30101901,1,20130810 19:00,1.182031803,-2.631718566,3.468665429,-5.946025863
30102001,1,20130810 20:00,1.212331452,-2.67146942,3.496549708,-6.240355144
30102101,1,20130810 21:00,1.280412144,-2.844124646,3.474915353,-6.315626239
30102201,1,20130810 22:00,1.345126209,-3.232799665,3.279244637,-6.552537185
30102301,1,20130810 23:00,1.427421552,-3.805372576,3.228764477,-7.012366374
30110001,1,20130811 0:00,1.798498733,-3.9948918,2.810019529,-5.967256171
30110101,1,20130811 1:00,2.529722716,-5.13652886,3.578593217,-7.456077858
30110201,1,20130811 2:00,3.268801276,-5.487710175,4.644605736,-8.035811723
30110301,1,20130811 3:00,3.642269625,-5.472944597,5.230423152,-8.008371652
30110401,1,20130811 4:00,3.267146931,-5.263832086,4.809994822,-7.817288975
30110501,1,20130811 5:00,3.084755412,-5.188806987,4.668306353,-7.873166938
30110601,1,20130811 6:00,2.413504991,-4.139652807,4.159258325,-6.995084665
30110701,1,20130811 7:00,2.133507126,-3.762931032,4.012417548,-6.797516153
30110801,1,20130811 8:00,1.674012845,-3.306395322,3.822297384,-6.970638056
30110901,1,20130811 9:00,1.568134775,-3.523090157,3.779017997,-7.561347949
30111001,1,20130811 10:00,1.367959049,-3.746569176,3.451846441,-8.177003361
30111101,1,20130811 11:00,1.439509463,-4.098149561,3.433813363,-8.610556484
30111201,1,20130811 12:00,1.75093988,-4.215875115,3.937709082,-8.633506361
30111301,1,20130811 13:00,2.009431262,-4.290102075,4.239634329,-8.418974897
30111401,1,20130811 14:00,1.934572158,-4.323623928,4.116494169,-8.456892086
30111501,1,20130811 15:00,2.334096438,-4.536328066,4.726012202,-8.590600068
30111601,1,20130811 16:00,2.923870376,-4.195522562,5.942472114,-7.956484972
30111701,1,20130811 17:00,4.042207491,-3.748564524,7.637066205,-6.709707926
30111801,1,20130811 18:00,4.684093291,-2.88896844,8.506775791,-4.78590949
30111901,1,20130811 19:00,4.863176121,-1.915637499,8.470709635,-3.019267825
30112001,1,20130811 20:00,5.676286612,-0.995781894,9.143085825,-1.153841904
30112101,1,20130811 21:00,6.893057246,0.008676482,11.03346762,0.371826046
30112201,1,20130811 22:00,5.883079718,-0.273465779,9.635131237,-0.095154072
30112301,1,20130811 23:00,6.026594133,-1.388466456,9.646981545,-1.966566917
30120001,1,20130812 0:00,7.876978843,-0.387200637,12.38903985,-0.31417573
30120101,1,20130812 1:00,9.540708321,0.655582449,14.66133265,1.050227523
30120201,1,20130812 2:00,8.154061901,1.035113812,12.52876201,1.643604924
30120301,1,20130812 3:00,7.719809641,1.279681588,11.44265128,1.979834186
30120401,1,20130812 4:00,7.538048752,0.955597049,11.12865973,1.51072712
30120501,1,20130812 5:00,7.348885836,0.506004969,10.86235631,0.820515691
30120601,1,20130812 6:00,5.995959762,-0.628720738,9.142904253,-0.876769623
30120701,1,20130812 7:00,4.46250647,-1.992110867,7.622777896,-3.241671759
30120801,1,20130812 8:00,4.351064839,-2.832839459,7.88747385,-4.794243998
30120901,1,20130812 9:00,3.519981679,-3.380430577,6.422001313,-5.768501907
30121001,1,20130812 10:00,4.694847878,-4.214711864,8.310773047,-7.052628704
30121101,1,20130812 11:00,5.129100137,-4.612725502,8.803729074,-7.455565851
30121201,1,20130812 12:00,4.812869088,-4.424894012,8.278623741,-6.973547581
30121301,1,20130812 13:00,6.749321637,-2.1575917,10.75304867,-3.23306429
30121401,1,20130812 14:00,6.451184432,0.374909764,10.4658482,0.899058847
30121501,1,20130812 15:00,5.041098259,-0.209216082,8.885709804,0.08672895
30121601,1,20130812 16:00,4.232221181,-0.691474508,7.801206545,-0.776707794
30121701,1,20130812 17:00,3.767127141,-1.220583351,7.328611745,-1.789161348
30121801,1,20130812 18:00,3.611684571,-1.55799232,7.243416084,-2.460005971
30121901,1,20130812 19:00,3.440615499,-1.886375063,7.113747216,-3.192716778
30122001,1,20130812 20:00,3.298743312,-2.029935058,6.99961718,-3.622552266
30122101,1,20130812 21:00,3.147001755,-2.265906426,6.880128925,-4.104570536
30122201,1,20130812 22:00,3.238293423,-2.984995861,6.645438991,-5.232686955
30122301,1,20130812 23:00,3.501065387,-3.47241213,6.629364338,-5.581827421
30130001,1,20130813 0:00,3.272013769,-3.924153312,5.462344526,-5.919132616
30130101,1,20130813 1:00,5.463517094,-4.926344309,8.031722886,-7.355871256
30130201,1,20130813 2:00,5.07709979,-5.045542407,7.636895212,-7.627554669
30130301,1,20130813 3:00,5.450827543,-5.581933849,8.180121765,-8.315988985
30130401,1,20130813 4:00,5.310423798,-5.791804005,7.944525005,-8.700290581
30130501,1,20130813 5:00,5.343989707,-5.681774991,8.235365144,-8.643663359
30130601,1,20130813 6:00,4.917457047,-5.480564526,7.717593872,-8.604851443
30130701,1,20130813 7:00,3.939542916,-5.005809708,6.758958778,-8.310898898
30130801,1,20130813 8:00,3.39430155,-4.436307683,6.268809196,-8.062757139
30130901,1,20130813 9:00,3.246529678,-4.687948113,6.095496637,-8.644935881
30131001,1,20130813 10:00,3.219103874,-4.971680338,5.964429014,-8.898167727
30131101,1,20130813 11:00,3.790952364,-4.939079149,6.922522506,-8.776641891
30131201,1,20130813 12:00,3.972290145,-5.204982598,7.300560526,-9.110042613
30131301,1,20130813 13:00,4.094273574,-5.509090567,7.466832263,-9.595509695
30131401,1,20130813 14:00,3.915391834,-5.496355727,7.279438058,-9.752029882
30131501,1,20130813 15:00,3.707856269,-5.363404002,7.024343635,-9.703037791
30131601,1,20130813 16:00,3.592012946,-5.222811374,6.794162892,-9.396996288
30131701,1,20130813 17:00,3.673471679,-5.014469399,6.894359215,-8.910256684
30131801,1,20130813 18:00,3.580960756,-5.237074394,6.769790813,-9.111951396
30131901,1,20130813 19:00,3.715633736,-4.901893417,6.862404712,-8.65129849
30132001,1,20130813 20:00,3.625578856,-4.466871298,6.68530094,-7.747171722
30132101,1,20130813 21:00,3.107353954,-4.872857983,5.937348926,-8.258725502
30132201,1,20130813 22:00,3.266587356,-5.05165513,5.846359833,-8.345893248
30132301,1,20130813 23:00,3.870364394,-4.732265354,6.621391934,-7.618010755
30140001,1,20130814 0:00,5.453692925,-3.777152388,9.583953496,-6.225871862
30140101,1,20130814 1:00,8.705605459,-0.740812891,13.25639463,-0.889051528
30140201,1,20130814 2:00,8.081339743,0.134608829,12.0904484,0.333970247
30140301,1,20130814 3:00,8.221414929,-0.173733528,12.16810818,-0.208898108
30140401,1,20130814 4:00,8.169595207,0.60811446,12.18070166,1.085902154
30140501,1,20130814 5:00,7.876085062,1.373051534,11.95087068,2.255961163
30140601,1,20130814 6:00,6.588283997,1.873614629,10.2607209,3.089427855
30140701,1,20130814 7:00,6.233237931,2.422655682,10.20772334,4.211402247
30140801,1,20130814 8:00,5.063650607,1.64362618,9.30571543,3.290825743
30140901,1,20130814 9:00,4.989159757,1.476208117,9.194997764,3.073399649
30141001,1,20130814 10:00,4.58269881,1.353885829,8.742681989,3.012074341
30141101,1,20130814 11:00,3.70095385,0.678012911,7.606645268,2.051775761
30141201,1,20130814 12:00,3.414326011,0.349941152,7.638653693,1.524238733
30141301,1,20130814 13:00,3.337406111,0.276096821,7.588804507,1.398800602
30141401,1,20130814 14:00,3.417159902,0.237201716,7.461820264,1.154196247
30141501,1,20130814 15:00,3.005840857,-0.037318811,7.136488732,0.612024771
30141601,1,20130814 16:00,2.741479306,-0.426833562,6.932369432,-0.185204239
30141701,1,20130814 17:00,2.781558622,-0.798310003,7.023147424,-1.000552089
30141801,1,20130814 18:00,2.721642068,-1.215445916,6.837918342,-1.952488127
30141901,1,20130814 19:00,2.519221278,-1.463472676,6.556663985,-2.595010108
30142001,1,20130814 20:00,2.227330499,-1.64047359,6.087032177,-3.086309454
30142101,1,20130814 21:00,2.057297036,-1.816910807,5.761175917,-3.566458743
30142201,1,20130814 22:00,2.249191945,-2.123562073,5.504583789,-3.803397435
30142301,1,20130814 23:00,2.526103585,-2.577902,5.296266663,-4.054970575
30150001,1,20130815 0:00,3.085594649,-2.663583972,4.673938926,-3.719772014
30150101,1,20130815 1:00,3.582778361,-2.665872973,5.014351869,-3.73860841
30150201,1,20130815 2:00,4.440775783,-2.863668969,6.115649083,-4.12161004
30150301,1,20130815 3:00,3.797653372,-3.163696603,5.392457438,-4.576296467
30150401,1,20130815 4:00,3.454053704,-3.42594298,5.010467223,-4.991385577
30150501,1,20130815 5:00,3.018293192,-3.842092421,4.399282878,-5.538238172
30150601,1,20130815 6:00,2.093679508,-4.09211545,3.250722469,-6.146534878
30150701,1,20130815 7:00,1.424511642,-3.954324981,2.511344798,-6.610096565
30150801,1,20130815 8:00,0.735308809,-3.234258658,1.945481327,-7.312607576
30150901,1,20130815 9:00,0.425768583,-3.432610261,1.365374152,-7.959136174
30151001,1,20130815 10:00,0.404230995,-3.905431588,1.199629245,-8.658233623
30151101,1,20130815 11:00,0.412745855,-4.449926184,1.082442417,-9.350503948
30151201,1,20130815 12:00,0.403229246,-4.932748433,0.982736496,-9.935588434
30151301,1,20130815 13:00,0.272000219,-5.308338583,0.683618734,-10.38890944
30151401,1,20130815 14:00,0.126245841,-5.6317017,0.404571645,-10.80195041
30151501,1,20130815 15:00,0.007538667,-5.838387404,0.187031454,-11.10917097
